Command,Primary File,Syntax Pattern,Positional Args,Optional Args,Short Flags,Long Flags,Default Values,Help Text,Examples,Schema Compliant,Inconsistencies,Priority Fix
/machines,commands/machines/run.py,stdin-json,"action, target, verbose",None,None,None,"action='status', verbose=False",N,N,Y,None - well-structured,P3
/man,commands/man/run.py,stdin-json + sys.argv fallback,command (optional),None,None,None,command='isaac',Y,Y,Partial,No JSON envelope; plain text output,P2
/mine,commands/mine/run.py,stdin-json + complex custom parser,Variable,"create, use, delete, list, info, upload, search, nuggets, skip, haul, pan, drop, survey, grokbug, grokrefactor",None,"--create, --use, --delete, --list, --info, --upload, --search, --nuggets, --skip, --haul, --pan, --drop, --survey, --grokbug, --grokrefactor",Multiple per operation,Y,Y,Y,None - most complex but well-structured,P3
/msg,commands/msg/run.py,Hybrid stdin-json/sys.argv,None,"sys, code, all, read, ack, delete, ack-all, clear, auto-run","-s, -c, -a, -ar","--sys, --code, --all, --read, --ack, --delete, --ack-all, --clear, --auto-run",Shows all pending if no filter,Y,N,N,No JSON envelope; complex stdin detection; no examples,P1
/newfile,commands/newfile/run.py,stdin-json + argparse,file (required),"template, content, force, list-templates, set-template, help","-t, -c, -f, -l, -s, -h","--template, --content, --force, --list-templates, --set-template, --help",Auto-detect template from extension,Y,Y,Y,None - well-designed,P3
/openai-vision,Unknown,Unknown (stub),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Empty stub command,P0
/pair,commands/pair/run.py,Command class delegate,sys.argv[1:],Unknown,Unknown,Unknown,Unknown,N,N,N,No JSON envelope; sys.argv; delegates to class,P2
/pipeline,commands/pipeline/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed - likely minimal stub,P2
/plugin,commands/plugin/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/queue,commands/queue/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed - likely minimal stub,P2
/read,commands/read/run.py,argparse + ReadTool,file_path (required),"offset, limit, help-cmd",,"--offset, --limit, --help-cmd","offset=0, limit=None",Y,Y,Y,None - well-designed,P3
/resources,commands/resources/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/restore,commands/restore/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/save,commands/save/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/script,commands/script/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/search,commands/search/run.py,argparse + smart detection,query (nargs='+'),"mode, path, ignore_case, context, output","-i, -C","--mode, --path, --ignore-case, --context, --output","mode='auto', path='.'",Y,Y,Y,None - excellent unified design,P3
/share,commands/share/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/status,commands/status/run.py,stdin-json,None,verbose,None,None,"verbose=False (one-line summary)",N,N,Y,None - well-structured,P3
/summarize,commands/summarize/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/sync,commands/sync/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/tasks,commands/tasks/run.py,Hybrid stdin-json/sys.argv,None,"running, completed, failed, stats, show, cancel, clear, list","-r, -c, -f, -s, -l","--running, --completed, --failed, --stats, --show, --cancel, --clear, --list",Lists all tasks,Y,N,N,No JSON envelope; hybrid input; no examples,P1
/team,commands/team/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/timemachine,commands/timemachine/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed - likely minimal stub,P2
/update,commands/update/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/upload,commands/upload/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/watch,commands/watch/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/whatis,commands/whatis/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/workspace,commands/workspace/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P2
/write,commands/write/run.py,argparse + WriteTool,"file_path (required), content (optional)","overwrite, help-cmd",,"--overwrite, --help-cmd","overwrite=False, content=stdin",Y,Y,Y,None - well-designed,P3
